row_index,point_index,frame_id,s,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,paint
0,0,world,0.0,3.297499914169312,2.3767349865130267,-1.11237614628552,0.5684656464069219,0.5684656464069219,-0.4205315789036068,0.4205315789036068,0
0,1,world,0.04,3.297499914169312,2.3890956848205227,-1.1504184009157474,0.5684656464069223,0.5684656464069214,-0.4205315789036065,0.4205315789036072,0
0,2,world,0.08,3.297499914169312,2.4014563831280187,-1.188460655545975,0.5684656464069229,0.5684656464069209,-0.42053157890360604,0.4205315789036076,0
0,3,world,0.12,3.297499914169312,2.4135614700332932,-1.2265834867084193,0.5660983975164766,0.5660983975164765,-0.4237128795886164,0.4237128795886164,1
0,4,world,0.16,3.297499914169313,2.4241763476218035,-1.265147115185307,0.5598346207995925,0.5598346208475097,-0.4319550871830553,0.43195508714608355,1
0,5,world,0.2,3.297499914169312,2.4340161749820735,-1.3039179135576102,0.5566754834116105,0.5566754833917579,-0.4360188140123328,0.4360188140278824,1
0,6,world,0.24,3.2974999141693124,2.4432464442843047,-1.3428371776615544,0.552560230499417,0.5525602305253998,-0.44122238345898585,0.44122238343823855,1
0,7,world,0.28,3.2974999141693107,2.4517062086259918,-1.3819322031490597,0.5511021589260018,0.5511021589260354,-0.44304222194627607,0.443042221946249,0
0,8,world,0.32,3.2974999141693084,2.4600970824491424,-1.4210422176783841,0.5511021589260023,0.5511021589260349,-0.44304222194627574,0.4430422219462494,0
1,0,world,0.0,3.347499914169318,2.4755826807984533,-1.509691024089845,0.5242127745601773,0.5242127745601306,-0.47455343954914636,0.4745534395491885,0
1,1,world,0.040000000000000036,3.3474999141693145,2.471842365229138,-1.4698662825408788,0.5242127745601773,0.5242127745601306,-0.47455343954914636,0.4745534395491885,0
1,2,world,0.08000000000000007,3.347499914169311,2.468102049659823,-1.4300415409919127,0.5242127745601773,0.5242127745601306,-0.47455343954914636,0.4745534395491885,0
1,3,world,0.1200000000000001,3.3474999141693105,2.464036739213051,-1.390249373360988,0.5269027695820808,0.5269027695722476,-0.4715649174904382,0.4715649174992386,1
1,4,world,0.16000000000000014,3.347499914169311,2.459370676365393,-1.3505225522993547,0.5285518454935916,0.5285518455005453,-0.4697158147481792,0.46971581474199947,1
1,5,world,0.19999999999999996,3.347499914169311,2.454690815656055,-1.3107973100419206,0.5323693670191683,0.5323693670303112,-0.4653846334573279,0.4653846334475868,1
1,6,world,0.24,3.347499914169311,2.448580426603525,-1.271275525529944,0.5460917798242187,0.546091779801395,-0.44920348174568675,0.44920348176446107,1
1,7,world,0.28,3.3474999141693114,2.439339064877363,-1.232364794444676,0.558136141193108,0.558136141210383,-0.4341474955476066,0.4341474955341692,1
1,8,world,0.32000000000000006,3.347499914169311,2.429269040657292,-1.193653230157895,0.5598384026519349,0.559838402541048,-0.4319501857173496,0.43195018580290584,1
1,9,world,0.3600000000000001,3.34749991416931,2.4188257483463516,-1.1550446350492145,0.5711965888727086,0.571196588932243,-0.41681465526572353,0.41681465522228,1
1,10,world,0.40000000000000013,3.34749991416931,2.404863981571352,-1.1175861965995102,0.5921532550130104,0.5921532550972727,-0.38646412841149097,0.38646412835649785,1
1,11,world,0.44000000000000017,3.3474999141693105,2.3866780504932623,-1.0819767300948524,0.6096588647802584,0.6096588647369475,-0.3582123233672116,0.35821232339265935,0
1,12,world,0.48,3.34749991416931,2.3660215972789644,-1.0477299559333464,0.6209005985666057,0.620900598522369,-0.33835254797169934,0.3383525479958056,0
1,13,world,0.52,3.34749991416931,2.343337877340068,-1.0147909186869275,0.6306250509831153,0.6306250509173198,-0.3198625409505792,0.3198625409839517,0
1,14,world,0.56,3.3474999141693105,2.3187839287530596,-0.983220810391623,0.6394639462561347,0.6394639463471584,-0.3018043428999828,0.30180434285702284,0
1,15,world,0.6000000000000001,3.34749991416931,2.2925113373928254,-0.9530652715048686,0.6474553247985985,0.6474553248329664,-0.284256226619539,0.28425622660445027,0
1,16,world,0.6400000000000001,3.347499914169311,2.264673449779523,-0.9243478055257056,0.6546003885861368,0.6546003887002158,-0.2673917186463761,0.2673917185997771,0
1,17,world,0.68,3.34749991416931,2.235417079574267,-0.8970762194659223,0.6610017579783369,0.6610017579406688,-0.2511507037036772,0.25115070371798937,0
1,18,world,0.7200000000000001,3.3474999141693105,2.204880779426377,-0.8712452265547456,0.6667313424645236,0.6667313424794111,-0.23551924967349636,0.23551924966823745,0
1,19,world,0.7600000000000001,3.34749991416931,2.1731931994399947,-0.8468396874241414,0.6718308704968082,0.6718308704968082,-0.2205522193211869,0.2205522193211869,0
1,20,world,0.8,3.3474999141693105,2.1404703141277497,-0.8238402998697835,0.6763692476789083,0.6763692476787764,-0.20621503532562457,0.20621503532566474,0
1,21,world,0.8400000000000001,3.34749991416931,2.106820673366409,-0.8022189683860594,0.6804244558608843,0.6804244557836567,-0.19241247338664183,0.19241247340848044,0
1,22,world,0.8800000000000001,3.34749991416931,2.0723393657422005,-0.7819498058829228,0.6840271879761063,0.6840271879761063,-0.1791837216643872,0.1791837216643872,0
1,23,world,0.92,3.3474999141693096,2.0371132465168693,-0.7630042080575768,0.6872434968597537,0.6872434968438805,-0.16642228226486594,0.16642228226870978,0
1,24,world,0.9600000000000001,3.34749991416931,2.0012190262324636,-0.7453567102144578,0.6901205018250287,0.6901205018683509,-0.15405743387569104,0.15405743386602005,0
1,25,world,1.0,3.3474999141693105,1.9647257829478184,-0.7289834758337586,0.6926827949691398,0.6926827950008047,-0.1420934394429595,0.14209343943646394,0
1,26,world,1.04,3.347499914169311,1.9276950373281678,-0.7138648305175516,0.6949792785344718,0.694979278559743,-0.1303986287917184,0.13039862878697678,0
1,27,world,1.08,3.347499914169311,1.8901815634524248,-0.6999869772436776,0.6970322833258289,0.6970322833222349,-0.11893694129249156,0.11893694129310482,0
1,28,world,1.12,3.3474999141693105,1.8522357370941127,-0.6873388731493976,0.6988661522921468,0.6988661522423824,-0.10763875331089433,0.10763875331855902,0
1,29,world,1.1600000000000001,3.347499914169311,1.81390249937697,-0.6759184476108305,0.7005025676231161,0.7005025676261498,-0.09641655849145837,0.09641655849104079,0
1,30,world,1.2000000000000002,3.347499914169311,1.775223811646095,-0.6657290771734985,0.7019548618469504,0.7019548619317574,-0.08520194757618614,0.08520194756589243,0
1,31,world,1.2400000000000002,3.3474999141693105,1.7362386222436013,-0.6567838397150693,0.7032337737201046,0.7032337737624564,-0.07390710026733861,0.07390710026288762,0
1,32,world,1.28,3.3474999141693114,1.6969845656853477,-0.649104431508857,0.7043450945138615,0.7043450945472985,-0.0624338674990851,0.06243386749612122,0
1,33,world,1.32,3.3474999141693105,1.657502737451377,-0.6426974382341224,0.7054244315404632,0.7054244315814483,-0.04874803951997,0.04874803951713775,1
1,34,world,1.36,3.3474999141693105,1.617772490358851,-0.6381200117217629,0.7065519567680665,0.7065519567489578,-0.028005935097697415,0.028005935098454837,1
1,35,world,1.4000000000000001,3.347499914169311,1.5778181679647247,-0.6363111615060686,0.7070264029647718,0.7070264030015345,-0.010661401629705365,0.01066140162915101,1
1,36,world,1.4400000000000002,3.347499914169312,1.5378259800309049,-0.6355449275667149,0.7070937253175037,0.7070937253524581,-0.004296928193433788,0.004296928193221376,1
1,37,world,1.48,3.34749991416931,1.4978268373556058,-0.6353023918209743,0.7071058313355416,0.7071058313858354,-0.0011589890895381128,0.0011589890894556786,1
1,38,world,1.52,3.3474999141693136,1.457826876404475,-0.6352487652057464,0.7071064799792589,0.7071064799793689,-0.0006526647409776122,0.0006526647409775108,0
1,39,world,1.56,3.34749991416932,1.4178268993898586,-0.6352058836229134,0.7071064799792589,0.7071064799793689,-0.0006526647409776122,0.0006526647409775108,0
1,40,world,1.6,3.347499914169326,1.377826922375242,-0.6351630020400806,0.7071064799792589,0.7071064799793689,-0.0006526647409776122,0.0006526647409775108,0
2,0,world,0.0,3.397499914169314,0.34324309995754676,-1.480371239610703,0.5338108187952922,0.5338108187952924,0.46373053569621614,-0.46373053569621614,0
2,1,world,0.04,3.397499914169314,0.3481311560634506,-1.4406710266703981,0.5338108187952922,0.5338108187952924,0.46373053569621614,-0.46373053569621614,0
2,2,world,0.08,3.397499914169314,0.35301921216935445,-1.4009708137300936,0.5338108187952922,0.5338108187952924,0.46373053569621614,-0.46373053569621614,0
2,3,world,0.12,3.3974999141693134,0.3581706258241349,-1.361305416553507,0.5375510050381902,0.5375510050441157,0.45938972232906194,-0.4593897223239981,1
2,4,world,0.16,3.397499914169313,0.3653180110096528,-1.3219557072210886,0.5490018162651135,0.5490018163432201,0.4456422396081642,-0.44564223954476256,1
2,5,world,0.2,3.3974999141693143,0.37436587481173556,-1.2829931467873874,0.5546585477169579,0.5546585477241653,0.4385816861691982,-0.438581686163499,1
2,6,world,0.24,3.3974999141693143,0.38376648494204263,-1.2441143888961972,0.5609809875915253,0.5609809876597849,0.4304652501016683,-0.43046525004928965,1
2,7,world,0.28,3.3974999141693134,0.39520965638911115,-1.2057963449148494,0.5755562536371109,0.5755562536451909,0.4107736589618814,-0.4107736589561147,0
2,8,world,0.32,3.3974999141693143,0.40975113569047694,-1.1685453385422988,0.5917236661384373,0.5917236661580145,0.3871215609147352,-0.38712156090192734,0
2,9,world,0.36,3.3974999141693143,0.4272264042948732,-1.132575954104606,0.6063954971492983,0.6063954971281131,0.3637093634281092,-0.3637093634408159,0
2,10,world,0.4,3.3974999141693143,0.4473961952108205,-1.0980441237889327,0.6194015282039168,0.6194015282006189,0.341089060012302,-0.341089060014118,0
2,11,world,0.44,3.3974999141693143,0.46997757137498913,-1.065037222359874,0.6307164169634262,0.6307164168746375,0.3196823445460063,-0.31968234459100925,0
2,12,world,0.48,3.3974999141693143,0.4946698545591506,-1.0335765540528015,0.6404009501120244,0.6404009501246333,0.29981097893391356,-0.29981097892801056,0
2,13,world,0.52,3.3974999141693134,0.5211747132113942,-1.0036252630737341,0.6484932793575139,0.6484932793175664,0.2818802345840315,-0.2818802346013955,0
2,14,world,0.56,3.3974999141693143,0.549206574701767,-0.9750963623866702,0.6551400057525136,0.6551400058172011,0.26606685781436007,-0.26606685778808903,0
2,15,world,0.6,3.397499914169313,0.5785008592039768,-0.9478638083823754,0.6605853863476612,0.6605853862537884,0.2522438252898978,-0.2522438253257431,0
2,16,world,0.64,3.3974999141693147,0.6088189085118698,-0.9217744745608347,0.6648984927464507,0.6648984927937395,0.2406449548944969,-0.24064495487738186,0
2,17,world,0.68,3.397499914169313,0.6399435946082094,-0.8966518090644499,0.6682032895364192,0.6682032894914912,0.2313101032794113,-0.2313101032949639,0
2,18,world,0.72,3.3974999141693143,0.6716805403653958,-0.8723062656371845,0.6706655346826657,0.670665534681401,0.2240708383292387,-0.22407083832966113,0
2,19,world,0.76,3.397499914169314,0.7038491896640634,-0.8485333837154795,0.6722442326252869,0.6722442327028232,0.2192890595890784,-0.21928905956378575,0
2,20,world,0.8,3.3974999141693143,0.7362759721299218,-0.8251133810559675,0.6730554034737927,0.6730554034737926,0.2167865859658531,-0.2167865859658531,0
2,21,world,0.84,3.3974999141693143,0.7687832382879575,-0.8018050680903814,0.672978115583804,0.6729781155359453,0.2170263946485091,-0.21702639466394286,0
2,22,world,0.88,3.397499914169314,0.8011734278111812,-0.7783346021086502,0.6718916300985958,0.671891630050706,0.22036705160292738,-0.2203670516186343,0
2,23,world,0.92,3.3974999141693147,0.8332063658310148,-0.7543798497201949,0.6706855392069312,0.6706855391145454,0.22401095409322602,-0.22401095412408314,1
2,24,world,0.96,3.397499914169314,0.8654272573986185,-0.7306899466894027,0.6750947361496838,0.6750947361037466,0.21034993998332865,-0.21034993999764207,1
2,25,world,1.0,3.397499914169314,0.898959031209245,-0.7088835231710441,0.6784188450308247,0.6784188448947415,0.19936868056791252,-0.1993686806079037,1
2,26,world,1.04,3.397499914169314,0.9326376959089983,-0.6873023793914519,0.6784117000361192,0.6784117001326625,0.1993929918383902,-0.19939299181001502,1
2,27,world,1.08,3.397499914169314,0.9662381414716724,-0.6655996410700207,0.6786074204636301,0.6786074204888943,0.1987258636313448,-0.19872586362394637,1
2,28,world,1.12,3.397499914169313,1.0001787921962462,-0.6444407204846107,0.6829941112689606,0.6829941112133086,0.183082069048833,-0.18308206906375096,1
2,29,world,1.16,3.3974999141693134,1.0354238616346805,-0.6255443483637521,0.6896436814777159,0.6896436814011735,0.1561780799214236,-0.15617807993875757,1
2,30,world,1.2,3.3974999141693147,1.0722023667568903,-0.609865081364506,0.6965252746277191,0.6965252746215015,0.12187100479186465,-0.12187100479295254,1
2,31,world,1.24,3.397499914169314,1.1105056898483123,-0.5984150762420248,0.7016847037848604,0.7016847037927949,0.0873989500444463,-0.08739895004345803,1
2,32,world,1.28,3.397499914169314,1.149713803246037,-0.5905295708295523,0.7041172788908046,0.7041172788449244,0.06495273357941998,-0.06495273358365229,1
2,33,world,1.32,3.397499914169314,1.1891210938076877,-0.5836691732173138,0.7047019063490095,0.7047019062988116,0.0582685440285285,-0.058268544032679156,1
2,34,world,1.36,3.3974999141693147,1.228651572173027,-0.5775795879637307,0.7054949001902232,0.7054949001902233,0.047717353296123484,-0.047717353296123484,1
2,35,world,1.4000000000000001,3.397499914169314,1.2683635503732453,-0.5727913133683422,0.7059119484914912,0.7059119485212589,0.041089182956151965,-0.04108918295441927,1
2,36,world,1.44,3.3974999141693134,1.308103988053927,-0.5682427474822699,0.7060832871457148,0.7060832870954322,0.03803145604499997,-0.03803145604770831,1
2,37,world,1.48,3.397499914169314,1.3479036537212499,-0.5642532042210817,0.7064780110572194,0.7064780110069175,0.029813083170132586,-0.029813083172255304,1
2,38,world,1.52,3.397499914169314,1.3878132524158027,-0.5616065131629747,0.7068464535435434,0.7068464535926936,0.01918569983605879,-0.01918569983472472,1
